Comp,Epsilon,Material ID,cm0,cm1,cm2,AvgElectron,sTot,pTot,dTot,fTot,NAtom,AvgIonicRad,DevIonicRad,VolumeAverageMass,AverageMass,DevMass,RedMass,AvgENeg,DiffENeg,DevENeg,AvgDipole,DevDipole,DiffDipole,TotalVolume,totalAtoms,density,OmegaAvg,OmegaDev,OmegaMax,OmegaMin,eHull,formE,gap,symm,lattA,lattB,lattC,lattAlpha,lattBeta,lattGamma
NaCl,5.9,mp-22862,462.9476447,143.7214087,0,2.268677355,1.5,2.5,0,0,2,140,41,75.19586745,29.21988464,6.23011536,13.94576555,2.045,2.23,1.115,93.815,68.885,137.77,0.7771673,2,2.105306383,0.002106018,0.001035937,0.003470049,0.000961063,0,-2.104797979,5.0033,Cubic,4.024635116,4.024635115,4.02463512,59.99999995,59.99999997,60.00000001
NaClO3,5.85,mp-23330,972.5720219,407.2900064,407.2900064,2.45960228,1.8,3.4,0,0,20,137,26.04611295,123.8277877,21.28735386,7.581277249,3.857755699,2.882,2.51,0.98200611,40.67,61.48971166,157.46,0.8595548,5,2.361653763,0.007845009,0.002882189,0.010272674,0.001827282,0.005435714,-1.214489723,5.6182,Cubic,6.68960613,6.68960613,6.68960613,90,90,90
NaClO4,5.76,mp-22968,711.2549898,421.5755585,170.8772653,2.452072568,1.833333333,3.5,0,0,12,136.6666667,23.78841922,138.0308696,20.40596155,7.195883032,3.108273797,2.975,2.51,0.92024906,34.765,57.6642494,157.46,0.8870173,6,2.392958257,0.009298946,0.003013145,0.011444353,0.002035697,0,-1.121606266,5.4553,Orthorhombic,4.874251593,4.874251584,7.17920379,90,90,94.95124784
NaF,8.15,mp-682,179.5484022,75.859365,0,2.382946941,1.5,2.5,0,0,2,113.75,14.75,59.6067888,20.99408622,1.995683059,10.402189,2.455,3.05,1.525,83.2,79.5,159,0.7044193,2,2.692671781,0.003855908,0.002784032,0.007673426,0.001112783,0,-2.957768971,6.0943,Cubic,3.320747621,3.320747623,3.32074762,60.00000003,60.00000001,59.99999997
NaH3(SeO3)2,245,mp-696842,3338.557024,2235.069355,2150.992276,1.969138191,1.666666667,2.666666667,1.666666667,0,24,99.25,83.50860734,180.9177818,23.32914744,25.83478586,0.292394474,2.7725,2.51,0.771925353,21.67844352,43.23828732,158.1928926,1.5473867,12,3.201140421,0.027868821,0.008974259,0.037313526,0.006637252,0.00833075,-1.404966592,4.2406,Monoclinic,10.63773029,5.71518901,4.789216944,90,94.11368366,90
NaNO2,6.8,mp-2964,209.668085,93.73541246,43.6082105,2.344474461,1.75,2.75,0,0,4,128.75,17.75352078,84.27420518,17.24869232,3.412916478,4.168433089,2.7125,2.51,1.042002279,45.195,67.84838447,157.46,0.8186938,4,2.049988513,0.006838681,0.002903524,0.009882446,0.001757869,0,-1.337131542,2.4238,Orthorhombic,3.632407366,4.323014983,4.323014979,78.74165266,65.15756411,65.15756407
NaNO3,6.85,mp-4531,353.3751681,128.4789488,109.5204957,2.381745331,1.8,3,0,0,10,130,16.07482504,100.4468906,16.99875386,3.093263011,3.306854209,2.858,2.51,0.976368783,37.204,62.75465675,157.46,0.8461563,5,2.153518317,0.008519998,0.00311011,0.01109541,0.001973628,0,-1.456711634,2.9553,Trigonal,6.411802019,6.411802018,6.411802015,47.48955902,47.48955903,47.48955905
NiO,11.9,mp-715434,1777.377158,1222.513718,68.06469097,6.056090701,2,2,4,0,4,95,40,342.429498,37.3462,21.3472,12.57203821,2.675,1.53,0.765,28.17,22.93,45.86,0.2181249,2,6.676074483,0.003788228,0.001435597,0.005690468,0.002222681,0,-0.934237126,2.3175,Cubic,2.975264509,5.142196203,2.97526401,106.815985,120.0000047,73.18400973
NiWO4,17.4,mp-25094,17182.31505,13611.43621,1715.464569,3.936362198,2,2.666666667,2,2.333333333,12,110.1666667,35.2629015,527.7396573,51.08823333,61.3811688,3.669821339,2.895,1.74,0.773126768,24.51,28.11168144,69.76,0.5808345,6,7.57569214,0.008456386,0.002596151,0.010532426,0.003413248,0,-1.803176066,2.8991,Monoclinic,4.668492071,5.021328752,5.73270034,89.99996563,89.99994493,90.5945546
P,4.1,mp-568348,3405.062771,1202.979204,1139.037172,4.8828125,2,3,0,0,84,44,0,147.6944065,30.973762,0,30.973762,2.19,0,0,24.93,0,0,0.2097152,1,2.149089864,0.001468927,0,0.001468927,0.001468927,0,0,1.8449,Monoclinic,9.26050591,9.290484327,23.60402364,98.13418361,90,90
PbBr2,30,mp-862868,21196.75388,18386.988,3014.157776,5.029729498,2,4,10,4.666666667,6,163.3333333,46.19764304,449.2564845,122.336,60.00790988,33.49377873,2.573333333,1.16,0.546829244,30.23333333,11.92653438,25.3,0.8169231,3,5.137048512,0.001581597,0.000360222,0.001876855,0.000936701,0,-0.93577979,2.5709,Tetragonal,7.17083602,7.17083602,4.61425229,90,90,90
PbCO3,18.6,mp-19893,24170.09886,18273.30166,18249.86286,3.796817792,2,3.2,2,2.8,20,99,55.38591879,385.2023859,53.4416,76.89471383,3.628513003,2.934,1.64,0.663554067,16.67,16.3267829,41.86,0.6936821,5,6.271761057,0.008251995,0.002689779,0.010592209,0.002845895,0,-1.827885809,3.3293,Orthorhombic,5.22603663,6.28282466,8.61872605,90,90,90
PbCl2,33.5,mp-862871,20948.534,18328.81615,575.1591279,4.414271732,2,4,3.333333333,4.666666667,6,153.3333333,39.12657523,387.0713978,92.7,80.96372645,16.32819829,2.706666667,1.36,0.641110148,32.32,10.45103823,22.17,0.7184721,3,4.436946764,0.002603119,0.000728525,0.003206917,0.001341572,0,-1.551976562,3.0963,Tetragonal,6.81523095,6.81523095,4.48171299,90,90,90
HfPbO3,390,mp-22734,37852.85953,19795.24515,19553.39493,3.436181231,2,2.8,2.4,5.6,40,112.2,30.65550522,400.0539448,86.7374,87.11089634,5.052022467,2.684,2.14,0.939310385,34.364,40.68749272,103.76,1.0840713,5,10.057653,0.00627203,0.002780263,0.008976731,0.002147868,0.008007641,-3.010793841,2.7161,Orthorhombic,5.89738698,8.2418127,11.78521845,90,90,90
PbI2,20.8,mp-22883,19877.38054,7202.740462,6262.599888,4.555337619,2,4,10,4.666666667,3,179.3333333,57.51135154,462.8924029,153.6696467,37.85167584,48.57636994,2.373333333,0.86,0.405407888,38.76666667,5.89255651,12.5,0.9959311,3,5.11264348,0.001109425,0.000178497,0.001253543,0.000777805,0,-0.675798517,2.4224,Trigonal,8.328713257,8.328713254,8.328713249,32.66988071,32.66988077,32.66988071
MoPbO4,34,mp-25054,21443.02524,17968.43604,4244.391232,3.251488928,1.833333333,3,2.5,2.333333333,12,117.8333333,25.68019124,401.5379679,61.191,71.52631639,3.769829648,2.953333333,1.64,0.696052361,23.42666667,26.74458865,67.26,0.9143494,6,6.480484492,0.008137887,0.002804289,0.010391781,0.002792045,0,-2.003353949,2.9184,Tetragonal,5.529386792,5.528623089,7.290963203,112.2749732,112.2844575,89.98551337
Pb(NO3)2,16.8,mp-20820,23342.4001,18408.312,18408.312,3.098443441,2,3.555555556,1.111111111,1.555555556,36,133.3333333,13.27487183,386.7218884,36.80088889,60.25067201,1.913379607,3.168888889,1.64,0.510782503,10.41555556,13.00564588,41.86,0.8564501,9,4.309476379,0.012487357,0.002984516,0.014586473,0.003919067,0,-1.168448839,3.5995,Cubic,7.99213065,7.99213065,7.99213065,90,90,90
